ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
	Type							江上
	情報源							江上
	hasProperty	狭い	狭い		narrow			江上
	主語/Who（誰が）	ヘレンの部屋の窓ANDジュリアの部屋の窓ANDロイロット博士の部屋の窓	ヘレンの部屋の窓 AND ジュリアの部屋の窓 AND ロイロット博士の部屋の窓		window of bedroom of Helen AND window of bedroom of Julia AND window of bedroom of Roylott			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
184	対象文	ジュリアの部屋には廊下に向いた窓がある。			bedroom of Julia has a window facing the corridor.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		exist			江上
	主語/Who（誰が）	窓	ジュリアの部屋の窓		window			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	From（どこから）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	To（どこへ）	廊下	廊下		corridor			江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
185	対象文	ロイロット博士の部屋には廊下に向いた窓がある。			Roylott 's bedroom has a window facing the corridor.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		exist			江上
	主語/Who（誰が）	窓	ロイロット博士の部屋の窓		window			江上
	Whom（誰に）							江上
	Where（どこで）	ロイロット博士の部屋	ロイロット博士の部屋		bedroom of Roylott			江上
	From（どこから）	ロイロット博士の部屋	ロイロット博士の部屋		bedroom of Roylott			江上
	To（どこへ）	廊下	廊下		corridor			江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
T186	対象文	ヘレンの部屋の窓は人の通り抜けはできない。ジュリアの部屋の窓は人の通り抜けはできない。ロイロット博士の部屋の窓は人の通り抜けはできない。			bedroom of Helen window can not pass through people. bedroom of Julia window can not pass through people.  Roylel's bedroom window can not pass through people.			江上
	Type							江上
	情報源							江上
	hasPredicate	通り抜けできない	cannot通り抜ける		cannotGo			江上
	主語/Who（誰が）	人	人		man			江上
	Whom（誰に）							江上
	Where（どこで）	ヘレンの部屋の窓 AND ジュリアの部屋の窓 AND ロイロット博士の部屋の窓	ヘレンの部屋の窓 AND ジュリアの部屋の窓 AND ロイロット博士の部屋の窓		bedroom of Helen AND bedroom of Julia AND bedroom of Roylott			江上
	From（どこから）	廊下	廊下		corridor			江上
	To（どこへ）	ヘレンの部屋 AND ジュリアの部屋 AND ロイロット博士の部屋	ヘレンの部屋 AND ジュリアの部屋 AND ロイロット博士の部屋		bedroom of Helen AND bedroom of Julia AND bedroom of Roylott			江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
186	対象文	ヘレンがジュリアの部屋に入った			Helen entered bedroom of Julia			江上
	Type							江上
	情報源							江上
	hasPredicate	入った	入る		go			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	187				江上
187	対象文	ヘレンがは鎧戸を閉めた			Helen closed the gates			江上
	Type							江上
	情報源							江上
	hasPredicate	閉めた	閉める		lock			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）	鎧戸	鎧戸		shutter		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	188				江上
188	対象文	ヘレンは部屋の鍵をかけた。			Helen locked the bedroom.			江上
	Type							江上
	情報源							江上
	hasPredicate	鍵をかける	鍵をかける		lock			江上
	主語/Who（誰が）	ヘレン	ヘレン		Helen			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）	部屋	ジュリアの部屋		bedroom of Julia			江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	189				江上
189	対象文	ホームズは空いた窓を念入りに調べた。			Holmes looked into the vacant window carefully.			江上
	Type							江上
	情報源							江上
	hasPredicate	調べた	調べる		investigate			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）	空いた窓	空いた窓		window of bedroom of Julia		Object	江上
	Why（なぜ）							江上
	How（どのように）	念入りに	念入りに		carefully			江上
	その他の修飾							江上
	関連する文		then	190				江上
190	対象文	ホームズは外から鎧戸を無理にこじ開けることに失敗した。			Holmes failed to forcibly open the fortress from the outside.			江上
	Type							江上
	情報源							江上
	hasPredicate	失敗した	失敗する		cannotOpen			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）	外から鎧戸を無理にこじ開けること	外から鎧戸を無理にこじ開けること		shutter			江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	195				江上
191	対象文	鎧戸の蝶番は頑丈な鉄製である。			The hinges of the gates are made of rugged iron.			江上
	Type							江上
	情報源							江上
	hasProperty	鉄製	鉄製		madeByIron			江上
	主語/Who（誰が）	鎧戸の蝶番	鎧戸の蝶番		hinges of shutter		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾	頑丈な	頑丈					江上
	関連する文							江上
192	対象文	鎧戸の蝶番は堅い石壁に埋め込んである。			The hinge hinges are embedded in a hard stone wall.			江上
	Type							江上
	情報源							江上
	hasPredicate	埋め込んである	埋め込む		exist			江上
	主語/Who（誰が）	鎧戸の蝶番	鎧戸の蝶番		hinges of shutter			江上
	Whom（誰に）							江上
	Where（どこで）	堅い石壁	堅い石壁		stone wall		Object	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
193	対象文	鎧戸に閂がかかっている。			A lock bar is hanging on the armor.			江上
	Type							江上
	情報源							江上
	hasPredicate	かかっている	かかる		have			江上
	主語/Who（誰が）	閂	閂		shutter			江上
	Whom（誰に）	鎧戸	鎧戸					江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）				bolt		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
194	対象文	誰も鎧戸を通れない。			Nobody can pass through the canopy.			江上
	Type							江上
	情報源							江上
	hasPredicate	通れない	not通る		cannotOpen			江上
	主語/Who（誰が）	誰も	人		man			江上
	Whom（誰に）							江上
	Where（どこで）	鎧戸	鎧戸		shutter			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T14		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
195	対象文	ホームズはジュリアの部屋に向かった。			Holmes headed to bedroom of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	向かった	向かう		come			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	外	外					江上
	To（どこへ）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	207				江上
196	対象文	ジュリアの部屋は質素な小さい部屋。			bedroom of Julia is a plain small bedroom.			江上
	Type							江上
	情報源							江上
	hasProperty	質素AND小さい	質素AND小さい		simple AND small			江上
	主語/Who（誰が）	ジュリアの部屋	ジュリアの部屋		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
197	対象文	ジュリアの部屋は低い天井。			bedroom of Julia is a low ceiling.			江上
	Type							江上
	情報源							江上
	hasPredicate	低い	低い		have			江上
	主語/Who（誰が）	ジュリアの部屋の天井	ジュリアの部屋の天井		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				low celling		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
198	対象文	ジュリアの部屋には暖炉がある。			bedroom of Julia has a fireplace.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		have			江上
	主語/Who（誰が）	大きい暖炉	暖炉		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋					江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				fireplace		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
199	対象文	ジュリアの部屋の隅には茶色の箪笥がある。			In the corner of bedroom of Julia there is a brown chest.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		have			江上
	主語/Who（誰が）	茶色の箪笥	箪笥		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋の隅	ジュリアの部屋の隅		chest		Object	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
200	対象文	ジュリアの部屋の隅には寝台がある。			There is a bed in the corner of bedroom of Julia.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		have			江上
	主語/Who（誰が）	寝台	寝台		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋の隅	ジュリアの部屋の隅					江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				bed		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
201	対象文	寝台は白い上掛けがかかっている。			The bed is white on top.			江上
	Type							江上
	情報源							江上
	hasPredicate	かかっている	かかる		have			江上
	主語/Who（誰が）	白い上掛け	白い上掛け		bed			江上
	Whom（誰に）	寝台	寝台					江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				white overhard		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
202	対象文	ジュリアの部屋の窓の左側には化粧台がある。			There is a dressing table on the left side of bedroom of Julia window.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		have			江上
	主語/Who（誰が）	化粧台	化粧台		bedroom of Julia			江上
	Whom（誰に）							江上
	left	ジュリアの部屋の窓の左側	ジュリアの部屋の窓の左側		window of bedroom of Julia		Object	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				vanity		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
203	対象文	ジュリアの部屋には小さな籐椅子が２つある。			bedroom of Julia has two small rattan chairs.			江上
	Type							江上
	情報源							江上
	hasPredicate	ある	存在する		have			江上
	主語/Who（誰が）	小さな籐椅子	籐椅子		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋	ジュリアの部屋					江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				two small chairs		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾	2つ	2つ					江上
	関連する文							江上
204	対象文	ジュリアの部屋の中央には高級なウィルトン絨毯が敷かれていた。			In the center of Julia 's bedroom was a prestigious Wilton carpet laid.			江上
	Type							江上
	情報源							江上
	hasPredicate	敷かれていた	存在する		have			江上
	主語/Who（誰が）	高級なウィルトン絨毯	ウィルトン絨毯		bedroom of Julia			江上
	Whom（誰に）							江上
	Where（どこで）	ジュリアの部屋の中央	ジュリアの部屋の中央					江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）				premium wilton carpet		Object	江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
205	対象文	ジュリアの部屋の床は虫の食った褐色の樫材。			The floor of bedroom of Julia is a brown oak material that insect bites.			江上
	Type							江上
	情報源							江上
	hasProperty	虫の食った褐色の樫材	虫の食った褐色の樫材		brown oak of insect holes		Object	江上
	主語/Who（誰が）	ジュリアの部屋の床	ジュリアの部屋の床		floor of bedroom of Julia		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
206	対象文	ジュリアの部屋の壁は虫の食った褐色の樫材。			The wall of bedroom of Julia is brown oak worm insect.			江上
	Type							江上
	情報源							江上
	hasProperty	虫の食った褐色の樫材	虫の食った褐色の樫材		madeByBrownOakWithInsectHoles			江上
	主語/Who（誰が）	ジュリアの部屋の壁	ジュリアの部屋の壁		walll of bedroom of Julia		Object	江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）							江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
207	対象文	ホームズは椅子に座った。			Holmes sat on a chair.			江上
	Type							江上
	情報源							江上
	hasPredicate	座った	座る		sit			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Where（どこで）	椅子	籐椅子		chair		Object	江上
	Where（どこで）				bedroom of Julia		Place	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	208				江上
208	対象文	ホームズは部屋の隅々まで見回した。			Holmes looked around every corner of the bedroom.			江上
	Type							江上
	情報源							江上
	hasPredicate	見回した	見回す		investigate			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）	部屋の隅々	部屋の隅々		bedroom of Julia			江上
	Why（なぜ）							江上
	How（どのように）				carefully			江上
	その他の修飾							江上
	関連する文		then	213				江上
209	対象文	寝台のそばに呼び鈴の引き綱が垂れ下がっている。			The drawer 's rope hangs down by the bed.			江上
	Type							江上
	情報源							江上
	hasPredicate	垂れ下がっている	垂れ下がる		exit			江上
	主語/Who（誰が）	呼び鈴の引き綱	呼び鈴の引き綱		rope of bell		Object	江上
	Whom（誰に）							江上
	near	寝台のそば	寝台のそば		bed			江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
210	対象文	呼び鈴の引き綱の房の先が枕の上にのっている。			The tip of the rope of the bell is on the pillow.			江上
	Type							江上
	情報源							江上
	hasPredicate	のっている	のる		exit			江上
	主語/Who（誰が）	呼び鈴の引き綱の房の先	呼び鈴の引き綱の房の先		rope of bell			江上
	Whom（誰に）							江上
	on	枕	枕		bed		Object	江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
211	対象文	呼び鈴の引き綱は家政婦の部屋に通じている。			The drawing line of the doorbell leads to the bedroom of the housekeeper.			江上
	Type							江上
	情報源							江上
	hasPredicate	通じている	通じる		go			江上
	主語/Who（誰が）	呼び鈴の引き綱	呼び鈴の引き綱		rope of bell			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）	寝台	寝台		bed			江上
	To（どこへ）	家政婦の部屋	家政婦の部屋		bedroom of housekeeper		Place	江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
212	対象文	呼び鈴の引き綱は二年前につけた。			The drawing line of the doorbell was attached two years ago.			江上
	Type							江上
	情報源							江上
	hasPredicate	つけた	つく		exit			江上
	主語/Who（誰が）	呼び鈴の引き綱	呼び鈴の引き綱		rope of bell			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）	二年前	二年前		two years ago	1881-04-01T10		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
213	対象文	ホームズは床を確認した。			Holmes confirmed the floor.			江上
	Type							江上
	情報源							江上
	hasPredicate	確認した	確認する		investigate			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）	床	ジュリアの部屋の床		floor of bedroom of Julia			江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	214				江上
214	対象文	ホームズは呼び鈴の引き綱を思い切り引っ張った。			Holmes dragged the leader of the doorbrew.			江上
	Type							江上
	情報源							江上
	hasPredicate	引っ張った	引っ張る		pull			江上
	主語/Who（誰が）	ホームズ	ホームズ		Holmes			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）	呼び鈴の引き綱	呼び鈴の引き綱		rope of bell			江上
	Why（なぜ）							江上
	How（どのように）	思い切り	思い切り		strongly			江上
	その他の修飾							江上
	関連する文		then	215				江上
215	対象文	呼び鈴はならなかった。			The doorbell did not go.			江上
	Type							江上
	情報源							江上
	hasPredicate	ならなかった	not鳴る		notWork			江上
	主語/Who（誰が）	呼び鈴	呼び鈴		bell			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）			216				江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		then	218	because			江上
216	対象文	呼び鈴の引き綱は喚起のための小さな穴の上のあたりで、かぎ針に結ばれている。			The pulling rope of the doorbell is tied to a crochet around a small hole for vantilation.			江上
	Type							江上
	情報源							江上
	hasProperty	結ばれている	結ぶ		beTied			江上
	主語/Who（誰が）	呼び鈴の引き綱	呼び鈴の引き綱		rope of bell			江上
	Whom（誰に）							江上
	Where（どこで）	換気のための小さな穴の上のあたり	換気のための小さな穴の上のあたり		ventilator		Object	江上
	From（どこから）							江上
	To（どこへ）	かぎ針	かぎ針					江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）							江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文		therefore	217	therefore			江上
217	対象文	呼び鈴の引き綱は動かない。			The drawing line of the doorbell does not move.			江上
	Type							江上
	情報源							江上
	hasPredicate	動かない	not動く		notWork			江上
	主語/Who（誰が）	呼び鈴の引き綱	呼び鈴の引き綱		rope of bell			江上
	Whom（誰に）							江上
	Where（どこで）							江上
	From（どこから）							江上
	To（どこへ）							江上
	When（いつ）					1883-04-01T15		江上
	What（何を）							江上
	Why（なぜ）			216				江上
	How（どのように）							江上
	その他の修飾							江上
	関連する文							江上
218	対象文	「実に妙だ！」と、ホームズは言った			It is really strange!, Holmes said.			古崎
	Type							古崎
	情報源	〇〇の発言			Remark by Holmes			古崎
	hasProperty	妙だ			beStrange			古崎
	主語/Who（誰が）	ホームズ			rope of bell			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）	実に妙だ						古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	219				古崎
219	対象文	ホームズは綱を引っ張る。			Holmes pulls the rope.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	引っ張る	引く		pull			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）	綱			rope of bell			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	220AND232				古崎
220	対象文	この部屋には、奇妙な点がいくつかある。			There are some strange points in this bedroom.			古崎
	Type							古崎
	情報源	〇〇の考え	ホームズ		Idea of Holmes			古崎
	hasPredicate	ある			have			古崎
	主語/Who（誰が）	この部屋	ヘレンの姉の部屋		bedroom of Julia			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）	奇妙な点がいくつか	奇妙		strange points		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		because	221AND226AND227				古崎
221	対象文	隣の部屋への穴がある			There is a hole in the next bedroom.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	ある			go			古崎
	主語/Who（誰が）		ヘレンの姉の部屋		ventilator		Object	古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）				bedroom of Julia			古崎
	To（どこへ）				bedroom of Roylott			古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）	隣の部屋への穴						古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		because	222				古崎
222	対象文	なぜなら，通風口なら、外気が入るようにするはず			Because, if it is a ventilator, it should let outside air enter.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	外気が入る			notGo			古崎
	主語/Who（誰が）	隣の部屋への穴			ventilator			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）				bedroom of Julia			古崎
	To（どこへ）				garden of mansion			古崎
	When（いつ）							古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾	通風口なら						古崎
	関連する文							古崎
223	対象文	隣の部屋への穴は最近のもの			The hole to the next bedroom is recent.			古崎
	Type							古崎
	情報源	〇〇の発言	ヘレン		Remark by Helen			古崎
	hasPredicate	最近のもの			open			古崎
	主語/Who（誰が）	隣の部屋への穴			ventilator			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）		新しい		these days			古崎
	その他の修飾							古崎
	関連する文		at the same time	224				古崎
224	対象文	「引き綱と同じ頃ですか？」と、ホームズは言った			Is it about the same as the tow line?, Holmes said.			古崎
	Type							古崎
	情報源	〇〇の考え			Idea of Holmes			古崎
	hasPredicate	言った	言う		open			古崎
	主語/Who（誰が）	ホームズ			ventilator			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）	引き綱と同じ頃			at the same time as rope of bell put	1881-04-01T10	AbstractTime	古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		at the same time	225				古崎
225	対象文	隣の部屋への穴は，引き綱と同じ頃			The hole to the next bedroom was the same as the tow line.			古崎
	Type							古崎
	情報源	〇〇の発言	ヘレン		Remark by Helen			古崎
	hasPredicate		できた		open			古崎
	主語/Who（誰が）	隣の部屋への穴			ventilator			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）	引き綱と同じ頃	引き綱ができたとき		at the same time as rope of bell put	1881-04-01T10		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		at the same time	226				古崎
226	対象文	そのほかにも少し直したところがいくつもある			In addition there are several places I fixed a little.			古崎
	Type							古崎
	情報源							古崎
	hasProperty	いくつもある			modified			古崎
	主語/Who（誰が）	ヘレンの姉の部屋			bedroom of Julia			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1881-04-01T10		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
227	対象文	この部屋には非常に興味深い特徴がある			This bedroom has very interesting features.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	ある			have			古崎
	主語/Who（誰が）	この部屋	ヘレンの姉の部屋		bedroom of Julia			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）	非常に興味深い特徴	特徴		interesting features		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		because	228AND229AND231				古崎
228	対象文	飾りだけの引き綱がある			There is a tow line with only decorations.			古崎
	Type							古崎
	情報源							古崎
	hasProperty	ある			fake			古崎
	主語/Who（誰が）	この部屋			rope of bell			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
229	対象文	飾りだけの引き綱			Only a decorative rope.			古崎
	Type							古崎
	情報源							古崎
	hasProperty	飾りだけの			decorated			古崎
	主語/Who（誰が）	引き綱			rope of bell			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-01T15		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
230	対象文							古崎
	Type							古崎
	情報源							古崎
	hasPredicate							古崎
	主語/Who（誰が）							古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）							古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
231	対象文	風の入らない通風口			A wind-free entrance.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	風の入らない			notGo			古崎
	主語/Who（誰が）	通風口			wind		Object	古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）				garden of mansion			古崎
	To（どこへ）				ventilator			古崎
	When（いつ）							古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
